world,category,astar_reachable,path_length_m,centreline_margin_m,footprint_clearance_m,bottleneck_x,bottleneck_y,reason
194,unreachable,0,,,,,,A*: goal unreachable in inflated free space
195,unreachable,0,,,,,,A*: goal unreachable in inflated free space
196,unreachable,0,,,,,,A*: goal unreachable in inflated free space
197,unreachable,0,,,,,,A*: goal unreachable in inflated free space
198,footprint_collision,1,10.628,0.015,-0.008,-3.788,9.153,
199,unreachable,0,,,,,,A*: goal unreachable in inflated free space
200,unreachable,0,,,,,,A*: goal unreachable in inflated free space
201,unreachable,0,,,,,,A*: goal unreachable in inflated free space
202,footprint_collision,1,9.076,0.004,-0.001,-1.802,6.381,
203,unreachable,0,,,,,,A*: goal unreachable in inflated free space
204,unreachable,0,,,,,,A*: goal unreachable in inflated free space
205,unreachable,0,,,,,,A*: goal unreachable in inflated free space
206,unreachable,0,,,,,,A*: goal unreachable in inflated free space
207,unreachable,0,,,,,,A*: goal unreachable in inflated free space
208,unreachable,0,,,,,,A*: goal unreachable in inflated free space
209,critical,1,9.605,0.010,0.042,-0.638,5.786,
210,unreachable,0,,,,,,A*: goal unreachable in inflated free space
211,unreachable,0,,,,,,A*: goal unreachable in inflated free space
212,unreachable,0,,,,,,A*: goal unreachable in inflated free space
213,unreachable,0,,,,,,A*: goal unreachable in inflated free space
214,unreachable,0,,,,,,A*: goal unreachable in inflated free space
215,unreachable,0,,,,,,A*: goal unreachable in inflated free space
216,tight,1,9.525,0.000,0.066,-3.102,7.794,
217,unreachable,0,,,,,,A*: goal unreachable in inflated free space
218,unreachable,0,,,,,,A*: goal unreachable in inflated free space
219,unreachable,0,,,,,,A*: goal unreachable in inflated free space
220,unreachable,0,,,,,,A*: goal unreachable in inflated free space
221,tight,1,9.632,0.006,0.086,-1.612,5.252,
222,unreachable,0,,,,,,A*: goal unreachable in inflated free space
223,unreachable,0,,,,,,A*: goal unreachable in inflated free space
224,unreachable,0,,,,,,A*: goal unreachable in inflated free space
225,unreachable,0,,,,,,A*: goal unreachable in inflated free space
226,tight,1,9.620,-0.005,0.075,-2.331,10.000,
227,unreachable,0,,,,,,A*: goal unreachable in inflated free space
228,unreachable,0,,,,,,A*: goal unreachable in inflated free space
229,unreachable,0,,,,,,A*: goal unreachable in inflated free space
230,unreachable,0,,,,,,A*: goal unreachable in inflated free space
231,tight,1,9.254,0.014,0.094,-1.898,8.182,
232,tight,1,10.897,0.005,0.051,-1.046,6.434,
233,tight,1,9.096,0.001,0.081,-1.845,6.936,
234,unreachable,0,,,,,,A*: goal unreachable in inflated free space
235,unreachable,0,,,,,,A*: goal unreachable in inflated free space
236,tight,1,9.241,0.004,0.073,-1.237,5.436,
237,unreachable,0,,,,,,A*: goal unreachable in inflated free space
238,unreachable,0,,,,,,A*: goal unreachable in inflated free space
239,tight,1,9.528,0.004,0.084,-3.145,5.614,
240,critical,1,9.560,0.007,0.042,-0.703,5.491,
241,unreachable,0,,,,,,A*: goal unreachable in inflated free space
242,unreachable,0,,,,,,A*: goal unreachable in inflated free space
243,unreachable,0,,,,,,A*: goal unreachable in inflated free space
244,unreachable,0,,,,,,A*: goal unreachable in inflated free space
245,unreachable,0,,,,,,A*: goal unreachable in inflated free space
246,unreachable,0,,,,,,A*: goal unreachable in inflated free space
247,tight,1,9.183,0.010,0.090,-2.767,7.879,
248,footprint_collision,1,10.143,0.012,-0.005,-1.974,7.408,
249,unreachable,0,,,,,,A*: goal unreachable in inflated free space
250,unreachable,0,,,,,,A*: goal unreachable in inflated free space
251,unreachable,0,,,,,,A*: goal unreachable in inflated free space
252,unreachable,0,,,,,,A*: goal unreachable in inflated free space
253,unreachable,0,,,,,,A*: goal unreachable in inflated free space
254,unreachable,0,,,,,,A*: goal unreachable in inflated free space
255,unreachable,0,,,,,,A*: goal unreachable in inflated free space
256,unreachable,0,,,,,,A*: goal unreachable in inflated free space
257,footprint_collision,1,9.277,0.004,-0.018,-2.599,6.489,
258,unreachable,0,,,,,,A*: goal unreachable in inflated free space
259,critical,1,9.395,0.005,0.040,-3.432,5.445,
260,unreachable,0,,,,,,A*: goal unreachable in inflated free space
261,unreachable,0,,,,,,A*: goal unreachable in inflated free space
262,unreachable,0,,,,,,A*: goal unreachable in inflated free space
263,unreachable,0,,,,,,A*: goal unreachable in inflated free space
264,unreachable,0,,,,,,A*: goal unreachable in inflated free space
265,unreachable,0,,,,,,A*: goal unreachable in inflated free space
266,unreachable,0,,,,,,A*: goal unreachable in inflated free space
267,unreachable,0,,,,,,A*: goal unreachable in inflated free space
268,unreachable,0,,,,,,A*: goal unreachable in inflated free space
269,unreachable,0,,,,,,A*: goal unreachable in inflated free space
270,critical,1,9.839,0.001,0.039,-2.286,10.024,
271,unreachable,0,,,,,,A*: goal unreachable in inflated free space
272,unreachable,0,,,,,,A*: goal unreachable in inflated free space
273,unreachable,0,,,,,,A*: goal unreachable in inflated free space
274,tight,1,9.253,0.031,0.098,-1.602,9.174,
275,unreachable,0,,,,,,A*: goal unreachable in inflated free space
276,unreachable,0,,,,,,A*: goal unreachable in inflated free space
277,unreachable,0,,,,,,A*: goal unreachable in inflated free space
278,unreachable,0,,,,,,A*: goal unreachable in inflated free space
279,unreachable,0,,,,,,A*: goal unreachable in inflated free space
280,unreachable,0,,,,,,A*: goal unreachable in inflated free space
281,unreachable,0,,,,,,A*: goal unreachable in inflated free space
282,unreachable,0,,,,,,A*: goal unreachable in inflated free space
283,unreachable,0,,,,,,A*: goal unreachable in inflated free space
284,unreachable,0,,,,,,A*: goal unreachable in inflated free space
285,unreachable,0,,,,,,A*: goal unreachable in inflated free space
286,unreachable,0,,,,,,A*: goal unreachable in inflated free space
287,unreachable,0,,,,,,A*: goal unreachable in inflated free space
288,unreachable,0,,,,,,A*: goal unreachable in inflated free space
289,critical,1,9.763,0.007,0.012,-0.720,7.317,
290,unreachable,0,,,,,,A*: goal unreachable in inflated free space
291,tight,1,9.202,0.009,0.090,-1.432,5.476,
292,unreachable,0,,,,,,A*: goal unreachable in inflated free space
293,unreachable,0,,,,,,A*: goal unreachable in inflated free space
294,unreachable,0,,,,,,A*: goal unreachable in inflated free space
295,unreachable,0,,,,,,A*: goal unreachable in inflated free space
296,unreachable,0,,,,,,A*: goal unreachable in inflated free space
297,unreachable,0,,,,,,A*: goal unreachable in inflated free space
298,unreachable,0,,,,,,A*: goal unreachable in inflated free space
299,unreachable,0,,,,,,A*: goal unreachable in inflated free space
